iter	Passed	Remaining
0	151	151013
1	152	76128
2	153	51145
3	155	38643
4	156	31160
5	157	26158
6	159	22592
7	160	19910
8	161	17833
9	163	16193
10	164	14831
11	166	13706
12	167	12751
13	169	11927
14	170	11219
15	172	10584
16	173	10026
17	174	9530
18	175	9084
19	177	8684
20	178	8321
21	179	7992
22	181	7691
23	182	7415
24	183	7161
25	185	6933
26	186	6717
27	187	6520
28	189	6335
29	190	6161
30	191	6001
31	193	5851
32	194	5710
33	196	5579
34	197	5450
35	199	5329
36	200	5216
37	201	5107
38	203	5005
39	204	4906
40	205	4815
41	207	4727
42	208	4646
43	210	4569
44	211	4492
45	213	4422
46	214	4355
47	216	4285
48	217	4226
49	219	4163
50	220	4105
51	222	4048
52	223	3994
53	224	3941
54	226	3889
55	227	3837
56	228	3787
57	230	3738
58	231	3691
59	232	3644
60	233	3600
61	235	3562
62	236	3521
63	238	3481
64	239	3443
65	240	3403
66	241	3366
67	242	3323
68	243	3289
69	245	3256
70	246	3224
71	247	3192
72	248	3161
73	250	3133
74	251	3106
75	253	3077
76	260	3126
77	262	3098
78	263	3069
79	264	3041
80	265	3015
81	267	2989
82	268	2963
83	269	2937
84	270	2908
85	271	2882
86	272	2854
87	273	2831
88	274	2808
89	275	2786
90	276	2764
91	278	2743
92	279	2723
93	280	2706
94	282	2688
95	283	2672
96	284	2652
97	286	2634
98	287	2616
99	288	2599
100	290	2582
101	290	2561
102	292	2543
103	293	2526
104	294	2511
105	296	2496
106	297	2482
107	298	2466
108	299	2451
109	301	2436
110	302	2423
111	303	2409
112	305	2395
113	306	2381
114	307	2367
115	308	2352
116	310	2340
117	311	2328
118	312	2314
119	314	2304
120	315	2291
121	316	2279
122	317	2263
123	318	2251
124	320	2240
125	321	2228
126	322	2217
127	323	2205
128	325	2196
129	326	2186
130	328	2175
131	329	2165
132	330	2155
133	332	2145
134	333	2135
135	334	2126
136	336	2117
137	337	2106
138	338	2097
139	340	2089
140	341	2080
141	342	2072
142	344	2063
143	345	2055
144	347	2046
145	348	2038
146	349	2029
147	351	2021
148	352	2012
149	353	2003
150	355	1996
151	356	1988
152	357	1980
153	359	1973
154	360	1965
155	361	1958
156	363	1950
157	364	1942
158	365	1935
159	367	1928
160	368	1920
161	369	1913
162	371	1906
163	372	1899
164	374	1894
165	375	1887
166	376	1880
167	378	1874
168	379	1867
169	381	1860
170	382	1853
171	383	1847
172	385	1842
173	386	1836
174	388	1831
175	389	1825
176	391	1818
177	392	1812
178	393	1805
179	394	1799
180	395	1790
181	397	1784
182	398	1778
183	399	1773
184	401	1768
185	402	1762
186	404	1756
187	405	1750
188	406	1745
189	407	1739
190	409	1733
191	410	1727
192	411	1721
193	413	1715
194	414	1710
195	415	1705
196	416	1699
197	418	1694
198	419	1688
199	420	1683
200	422	1678
201	423	1672
202	424	1667
203	425	1661
204	427	1656
205	428	1651
206	430	1647
207	431	1642
208	432	1638
209	434	1632
210	435	1628
211	436	1622
212	437	1617
213	439	1613
214	440	1608
215	441	1603
216	442	1598
217	444	1593
218	445	1590
219	447	1585
220	448	1581
221	449	1576
222	451	1572
223	452	1567
224	453	1562
225	454	1557
226	455	1552
227	457	1548
228	458	1544
229	460	1540
230	461	1535
231	462	1531
232	463	1526
233	465	1522
234	466	1518
235	467	1514
236	469	1509
237	470	1505
238	471	1501
239	472	1497
240	474	1493
241	475	1489
242	477	1486
243	478	1482
244	479	1478
245	481	1475
